127.0.0.1 - - [28/Mar/2022:09:31:19 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/ HTTP/1.1" 200 20986
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/css/style-starter.css HTTP/1.1" 200 271074
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:20 +0530] "GET /E-Agriculture-System/assets/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/banner2.jpg HTTP/1.1" 200 87827
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/banner3.jpg HTTP/1.1" 200 11891
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/banner4.jpg HTTP/1.1" 200 12232
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/g2.jpg HTTP/1.1" 200 74003
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/g1.jpg HTTP/1.1" 200 61033
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/banner1.jpg HTTP/1.1" 200 1826765
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/g3.jpg HTTP/1.1" 200 19161
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/c1.jpg HTTP/1.1" 200 16053
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/c2.jpg HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/images/c3.jpg HTTP/1.1" 200 14648
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /E-Agriculture-System/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:30 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:39 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20986
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:31:50 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:32:11 +0530] "GET /E-Agriculture-System/about.jsp HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:32:23 +0530] "GET /E-Agriculture-System/customer-login.jsp HTTP/1.1" 500 2395
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:32:32 +0530] "GET /E-Agriculture-System/admin-account.jsp HTTP/1.1" 200 11343
0:0:0:0:0:0:0:1 - - [28/Mar/2022:09:32:54 +0530] "GET /E-Agriculture-System/index.jsp HTTP/1.1" 200 20986
