127.0.0.1 - - [12/Apr/2022:22:13:21 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/ HTTP/1.1" 200 21056
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/css/style-starter.css HTTP/1.1" 200 271350
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:24 +0530] "GET /E-Agriculture-System/assets/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:25 +0530] "GET /E-Agriculture-System/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:13:30 +0530] "GET /E-Agriculture-System/customer-account.jsp HTTP/1.1" 200 17475
0:0:0:0:0:0:0:1 - - [12/Apr/2022:22:14:48 +0530] "GET /E-Agriculture-System/admin-account.jsp HTTP/1.1" 200 15942
